city,party,leader,tweet,tweet_time
edinburgh,,Jeremy-Corbyn,RT @wgsaraband: Omg Jeremy Corbyn just used a political nuclear missile - the only kind of nuclear weapons we want to see - to reveal docum…,Wed Nov 27 15:00:07 +0000 2019
edinburgh,,Jeremy-Corbyn,RT @wgsaraband: Omg Jeremy Corbyn just used a political nuclear missile - the only kind of nuclear weapons we want to see - to reveal docum…,Wed Nov 27 14:58:48 +0000 2019
edinburgh,,Jeremy-Corbyn,@bbclaurak But you won’t accept the fact Jeremy Corbyn has already apologised - it’s outrageous how you can call yourself unbiased,Wed Nov 27 14:58:30 +0000 2019
edinburgh,,Jeremy-Corbyn,RT @MalcolmChishol1: Indeed.Andrew Neill getting plaudits but easiest thing in the world to do an interview with repeated pre-packaged poin…,Wed Nov 27 14:42:07 +0000 2019
edinburgh,,Jeremy-Corbyn,RT @wgsaraband: Omg Jeremy Corbyn just used a political nuclear missile - the only kind of nuclear weapons we want to see - to reveal docum…,Wed Nov 27 14:41:42 +0000 2019
edinburgh,,Jeremy-Corbyn,RT @wgsaraband: Omg Jeremy Corbyn just used a political nuclear missile - the only kind of nuclear weapons we want to see - to reveal docum…,Wed Nov 27 14:41:01 +0000 2019
edinburgh,,Jeremy-Corbyn,Holocaust refugee Lord Dubs defends Jeremy Corbyn as Labour launch pledges to defend faith communities https://t.co/NIdOKEctzd,Wed Nov 27 14:32:40 +0000 2019
edinburgh,,Jeremy-Corbyn,RT @wgsaraband: Omg Jeremy Corbyn just used a political nuclear missile - the only kind of nuclear weapons we want to see - to reveal docum…,Wed Nov 27 14:29:24 +0000 2019
edinburgh,,Jeremy-Corbyn,RT @MalcolmChishol1: Indeed.Andrew Neill getting plaudits but easiest thing in the world to do an interview with repeated pre-packaged poin…,Wed Nov 27 14:28:04 +0000 2019
edinburgh,,Jeremy-Corbyn,RT @wgsaraband: Omg Jeremy Corbyn just used a political nuclear missile - the only kind of nuclear weapons we want to see - to reveal docum…,Wed Nov 27 14:26:04 +0000 2019
edinburgh,,Jeremy-Corbyn,RT @wgsaraband: Omg Jeremy Corbyn just used a political nuclear missile - the only kind of nuclear weapons we want to see - to reveal docum…,Wed Nov 27 14:25:25 +0000 2019
edinburgh,,Jeremy-Corbyn,RT @wgsaraband: Omg Jeremy Corbyn just used a political nuclear missile - the only kind of nuclear weapons we want to see - to reveal docum…,Wed Nov 27 14:24:59 +0000 2019
