city,party,leader,tweet,tweet_time
newport,Conservative-Party,,RT @Njones12345678: @gingerdog633 @glenoglaza1 @ormy27 I hate the fact that next to no one is acknowledging the allegations of islamophobia…,Tue Nov 26 23:25:45 +0000 2019
newport,Conservative-Party,,RT @Njones12345678: @gingerdog633 @glenoglaza1 @ormy27 I hate the fact that next to no one is acknowledging the allegations of islamophobia…,Tue Nov 26 22:13:51 +0000 2019
newport,Conservative-Party,,RT @Njones12345678: @gingerdog633 @glenoglaza1 @ormy27 I hate the fact that next to no one is acknowledging the allegations of islamophobia…,Tue Nov 26 18:51:35 +0000 2019
newport,Conservative-Party,,@gingerdog633 @glenoglaza1 @ormy27 I hate the fact that next to no one is acknowledging the allegations of islamoph… https://t.co/gnPFYg39LE,Tue Nov 26 18:50:29 +0000 2019
newport,,Jeremy-Corbyn,Archbishop of Canterbury supports Chief Rabbi over anti-Semitism row https://t.co/SFN9enmJ8Y,Tue Nov 26 23:17:26 +0000 2019
newport,,Jeremy-Corbyn,RT @robindavey01: Andrew Neil has got Jeremy Corbyn on toast in interview being shown now on BBC 1.Embarrassing,Tue Nov 26 22:35:04 +0000 2019
newport,,Jeremy-Corbyn,"@WelshConserv @NiaGriffithMP Do @WelshLabour even acknowledge Jeremy Corbyn as their leader? 

My election leaflet… https://t.co/tycGFAQuiD",Tue Nov 26 21:02:24 +0000 2019
newport,,Jeremy-Corbyn,@krustysghost _  https://t.co/IU4g5NuHW8,Tue Nov 26 20:59:51 +0000 2019
newport,,Jeremy-Corbyn,@krustysghost _https://t.co/lYWdVblPIT,Tue Nov 26 20:44:59 +0000 2019
newport,,Jeremy-Corbyn,@TuckerClemens @BBCNews -https://t.co/lYWdVblPIT,Tue Nov 26 20:44:02 +0000 2019
newport,,Jeremy-Corbyn,"Watching The Andrew Neil Interviews with Jeremy Corbyn and can't see people wanting to vote for him, why can't Labo… https://t.co/s3WU8vy0TY",Tue Nov 26 19:19:13 +0000 2019
newport,,Jeremy-Corbyn,"Well this could be a game changer, but not all young people support labour... good to see though https://t.co/Gr4i8AChQN",Tue Nov 26 19:18:24 +0000 2019
newport,,Jeremy-Corbyn,Andrew Neil to Jeremy Corbyn on why he wouldn't take a view on Brexit-What would you do during the campaign? Go on holiday?!,Tue Nov 26 19:17:15 +0000 2019
newport,,Jeremy-Corbyn,RT @robindavey01: Andrew Neil has got Jeremy Corbyn on toast in interview being shown now on BBC 1.Embarrassing,Tue Nov 26 19:11:50 +0000 2019
newport,,Jeremy-Corbyn,RT @robindavey01: Andrew Neil has got Jeremy Corbyn on toast in interview being shown now on BBC 1.Embarrassing,Tue Nov 26 19:09:34 +0000 2019
newport,,Jeremy-Corbyn,Andrew Neil has got Jeremy Corbyn on toast in interview being shown now on BBC 1.Embarrassing,Tue Nov 26 19:09:21 +0000 2019
newport,Conservative-Party,,RT @Njones12345678: @gingerdog633 @glenoglaza1 @ormy27 I hate the fact that next to no one is acknowledging the allegations of islamophobia…,Tue Nov 26 23:25:45 +0000 2019
newport,Conservative-Party,,RT @Njones12345678: @gingerdog633 @glenoglaza1 @ormy27 I hate the fact that next to no one is acknowledging the allegations of islamophobia…,Tue Nov 26 22:13:51 +0000 2019
newport,Conservative-Party,,RT @Njones12345678: @gingerdog633 @glenoglaza1 @ormy27 I hate the fact that next to no one is acknowledging the allegations of islamophobia…,Tue Nov 26 18:51:35 +0000 2019
newport,Conservative-Party,,@gingerdog633 @glenoglaza1 @ormy27 I hate the fact that next to no one is acknowledging the allegations of islamoph… https://t.co/gnPFYg39LE,Tue Nov 26 18:50:29 +0000 2019
newport,Conservative-Party,,RT @Njones12345678: @gingerdog633 @glenoglaza1 @ormy27 I hate the fact that next to no one is acknowledging the allegations of islamophobia…,Tue Nov 26 23:25:45 +0000 2019
newport,Conservative-Party,,RT @Njones12345678: @gingerdog633 @glenoglaza1 @ormy27 I hate the fact that next to no one is acknowledging the allegations of islamophobia…,Tue Nov 26 22:13:51 +0000 2019
newport,Conservative-Party,,RT @Njones12345678: @gingerdog633 @glenoglaza1 @ormy27 I hate the fact that next to no one is acknowledging the allegations of islamophobia…,Tue Nov 26 18:51:35 +0000 2019
newport,Conservative-Party,,@gingerdog633 @glenoglaza1 @ormy27 I hate the fact that next to no one is acknowledging the allegations of islamoph… https://t.co/gnPFYg39LE,Tue Nov 26 18:50:29 +0000 2019
newport,,Boris-Johnson,Labour’s spending plans backed by more than 160 prominent economists https://t.co/z6COccyb8M,Tue Nov 26 21:45:35 +0000 2019
newport,,Boris-Johnson,"Well this could be a game changer, but not all young people support labour... good to see though https://t.co/Gr4i8AChQN",Tue Nov 26 19:18:24 +0000 2019
newport,,Boris-Johnson,RT @southwalesargus: Opponents respond to Boris Johnson's Brynglas Tunnels M4 congestion claims https://t.co/806T0ERviS https://t.co/s6n96M…,Tue Nov 26 19:04:26 +0000 2019
newport,,Boris-Johnson,Opponents respond to Boris Johnson's Brynglas Tunnels M4 congestion claims https://t.co/806T0ERviS https://t.co/s6n96Mt1nb,Tue Nov 26 19:01:33 +0000 2019
newport,,Boris-Johnson,"That's fine, but John from down the road who read the Daily Mail said its rubbish. So I need to believe John who is… https://t.co/KSP9yWo7FS",Tue Nov 26 16:19:12 +0000 2019
newport,,Boris-Johnson,"Johnson’s plan is a continuation of Austerity: ‘We now know the Boris Johnson blueprint: crisis, inequality and div… https://t.co/Ij8hiGcbBz",Tue Nov 26 13:38:29 +0000 2019
newport,,Boris-Johnson,"@jmartin170 4. Man United being shit under OGS
5. Boris Johnson being full of shit

😂😂",Tue Nov 26 08:06:01 +0000 2019
newport,,Boris-Johnson,RT @southwalesargus: Boris Johnson makes Brynglas Tunnels congestion pledge https://t.co/iyJ2OMxF2X https://t.co/8gmSxCYnv5,Tue Nov 26 07:47:03 +0000 2019
newport,,Boris-Johnson,RT @southwalesargus: Boris Johnson makes Brynglas Tunnels congestion pledge https://t.co/iyJ2OMxF2X https://t.co/8gmSxCYnv5,Tue Nov 26 07:05:07 +0000 2019
newport,,Boris-Johnson,RT @southwalesargus: Boris Johnson makes Brynglas Tunnels congestion pledge https://t.co/iyJ2OMxF2X https://t.co/8gmSxCYnv5,Tue Nov 26 01:19:15 +0000 2019
newport,,Boris-Johnson,Labour’s spending plans backed by more than 160 prominent economists https://t.co/z6COccyb8M,Tue Nov 26 21:45:35 +0000 2019
newport,,Boris-Johnson,"Well this could be a game changer, but not all young people support labour... good to see though https://t.co/Gr4i8AChQN",Tue Nov 26 19:18:24 +0000 2019
newport,,Boris-Johnson,RT @southwalesargus: Opponents respond to Boris Johnson's Brynglas Tunnels M4 congestion claims https://t.co/806T0ERviS https://t.co/s6n96M…,Tue Nov 26 19:04:26 +0000 2019
newport,,Boris-Johnson,Opponents respond to Boris Johnson's Brynglas Tunnels M4 congestion claims https://t.co/806T0ERviS https://t.co/s6n96Mt1nb,Tue Nov 26 19:01:33 +0000 2019
newport,,Boris-Johnson,"That's fine, but John from down the road who read the Daily Mail said its rubbish. So I need to believe John who is… https://t.co/KSP9yWo7FS",Tue Nov 26 16:19:12 +0000 2019
newport,,Boris-Johnson,"Johnson’s plan is a continuation of Austerity: ‘We now know the Boris Johnson blueprint: crisis, inequality and div… https://t.co/Ij8hiGcbBz",Tue Nov 26 13:38:29 +0000 2019
newport,,Boris-Johnson,"@jmartin170 4. Man United being shit under OGS
5. Boris Johnson being full of shit

😂😂",Tue Nov 26 08:06:01 +0000 2019
newport,,Boris-Johnson,RT @southwalesargus: Boris Johnson makes Brynglas Tunnels congestion pledge https://t.co/iyJ2OMxF2X https://t.co/8gmSxCYnv5,Tue Nov 26 07:47:03 +0000 2019
