city,party,leader,tweet,tweet_time
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 01:27:08 +0000 2019
edinburgh,,Boris-Johnson,RT @CityHobo61: NCA refused to investigate &amp; the person who was in charge of the decision came to me a year later &amp; apologised to me &amp; said…,Sun Nov 17 01:21:04 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 01:21:03 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 01:17:16 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 01:17:16 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 01:16:37 +0000 2019
edinburgh,,Boris-Johnson,RT @CityHobo61: NCA refused to investigate &amp; the person who was in charge of the decision came to me a year later &amp; apologised to me &amp; said…,Sun Nov 17 01:08:12 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 01:08:04 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 01:05:18 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 01:04:04 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 01:03:54 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 00:59:39 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 00:59:34 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 00:59:29 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 00:57:54 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 00:51:49 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 00:51:19 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 00:50:44 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 00:47:53 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 00:46:45 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 00:44:38 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 00:43:11 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 00:41:50 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 00:40:11 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 00:36:35 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 00:34:02 +0000 2019
edinburgh,,Boris-Johnson,"For nine extraordinary minutes, Boris Johnson stood next to his bus and lied and lied without stopping | Tom Peck https://t.co/zfNk5fNwHC",Sun Nov 17 00:33:12 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 00:28:30 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 00:26:17 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 00:17:09 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 00:15:10 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 00:08:40 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 00:08:23 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 00:05:41 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 00:04:06 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 00:04:01 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 23:58:53 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 23:55:32 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 23:54:08 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 23:53:31 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 23:52:04 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 23:51:04 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 23:50:59 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 23:48:23 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 23:48:18 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 23:46:18 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 23:46:17 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 23:45:56 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 23:44:15 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 23:44:12 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 23:44:10 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 23:42:18 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 23:42:00 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 23:41:59 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 23:41:22 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 23:41:12 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 23:39:09 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: The Fragile Boris Johnson - I find election campaigns in which the Prime Minister addresses scrubbed, smug Tory audienc…",Sat Nov 16 23:37:12 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 23:33:56 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 23:30:30 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 23:29:06 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 23:27:28 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 23:26:38 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 23:24:21 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 23:22:25 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 23:21:35 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 23:20:33 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 23:19:29 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: The Fragile Boris Johnson - I find election campaigns in which the Prime Minister addresses scrubbed, smug Tory audienc…",Sat Nov 16 23:19:19 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 23:14:20 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 23:12:49 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 23:12:32 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 23:09:05 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 23:05:59 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 23:03:35 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 23:02:06 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 22:56:25 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 22:55:17 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 22:53:52 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 22:51:21 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 22:47:00 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 22:42:59 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 22:42:22 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 22:42:20 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 22:41:55 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 22:41:33 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 22:39:29 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 22:37:20 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 22:32:24 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 22:31:33 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 22:31:22 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 22:30:31 +0000 2019
edinburgh,,Boris-Johnson,"RT @Tramspotter: Know who #PrinceAndrew reminds me of? 

Bluster: check. 
Out of touch: check. 
Sense of entitlement: check. 
Unconvincing:…",Sat Nov 16 22:30:07 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 22:29:37 +0000 2019
edinburgh,,Boris-Johnson,"Know who #PrinceAndrew reminds me of? 

Bluster: check. 
Out of touch: check. 
Sense of entitlement: check. 
Unconv… https://t.co/XFoQofgHzr",Sat Nov 16 22:28:59 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 22:26:15 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 22:25:58 +0000 2019
edinburgh,,Boris-Johnson,@AndrewBowie4WAK @ScotTories How’s that Brexit nonsense that you Tories dumped on the rest of us? How about tax bre… https://t.co/1qog3mMbkD,Sat Nov 16 22:23:51 +0000 2019
edinburgh,,Boris-Johnson,RT @Camz99: Bolton fire: Government warned over laminate cladding risk before student flat block blaze | The Independent https://t.co/2WHrQ…,Sat Nov 16 22:20:51 +0000 2019
edinburgh,,Boris-Johnson,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 22:20:02 +0000 2019
edinburgh,,Jeremy-Corbyn,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 01:27:08 +0000 2019
edinburgh,,Jeremy-Corbyn,@dewbeere @Not_Froggy But but Nick Griffin supported Jeremy Corbyn.,Sun Nov 17 01:25:30 +0000 2019
edinburgh,,Jeremy-Corbyn,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 01:21:03 +0000 2019
edinburgh,,Jeremy-Corbyn,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 01:17:16 +0000 2019
edinburgh,,Jeremy-Corbyn,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 01:17:16 +0000 2019
edinburgh,,Jeremy-Corbyn,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 01:16:37 +0000 2019
edinburgh,,Jeremy-Corbyn,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 01:08:04 +0000 2019
edinburgh,,Jeremy-Corbyn,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 01:05:18 +0000 2019
edinburgh,,Jeremy-Corbyn,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 01:04:04 +0000 2019
edinburgh,,Jeremy-Corbyn,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 01:03:54 +0000 2019
edinburgh,,Jeremy-Corbyn,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 00:59:39 +0000 2019
edinburgh,,Jeremy-Corbyn,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 00:59:34 +0000 2019
edinburgh,,Jeremy-Corbyn,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 00:59:29 +0000 2019
edinburgh,,Jeremy-Corbyn,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 00:57:54 +0000 2019
edinburgh,,Jeremy-Corbyn,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 00:51:49 +0000 2019
edinburgh,,Jeremy-Corbyn,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 00:51:19 +0000 2019
edinburgh,,Jeremy-Corbyn,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 00:50:44 +0000 2019
edinburgh,,Jeremy-Corbyn,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 00:47:53 +0000 2019
edinburgh,,Jeremy-Corbyn,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 00:46:45 +0000 2019
edinburgh,,Jeremy-Corbyn,Jeremy Corbyn has gone absolutely imbecile on immigration trying to out maneuver tories and frankly he's just lost… https://t.co/xR7PP1NGiL,Sun Nov 17 00:45:01 +0000 2019
edinburgh,,Jeremy-Corbyn,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 00:44:38 +0000 2019
edinburgh,,Jeremy-Corbyn,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 00:43:11 +0000 2019
edinburgh,,Jeremy-Corbyn,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 00:41:50 +0000 2019
edinburgh,,Jeremy-Corbyn,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 00:40:11 +0000 2019
edinburgh,,Jeremy-Corbyn,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 00:36:35 +0000 2019
edinburgh,,Jeremy-Corbyn,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 00:34:02 +0000 2019
edinburgh,,Jeremy-Corbyn,"For nine extraordinary minutes, Boris Johnson stood next to his bus and lied and lied without stopping | Tom Peck https://t.co/zfNk5fNwHC",Sun Nov 17 00:33:12 +0000 2019
edinburgh,,Jeremy-Corbyn,"RT @rosscolquhoun: 🏴󠁧󠁢󠁳󠁣󠁴󠁿 Scotland’s democratic will won’t be ignored by Jeremy Corbyn.

#voteSNP at #GE2019 to escape Brexit and give Sco…",Sun Nov 17 00:28:41 +0000 2019
edinburgh,,Jeremy-Corbyn,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 00:28:30 +0000 2019
edinburgh,,Jeremy-Corbyn,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 00:26:17 +0000 2019
edinburgh,,Jeremy-Corbyn,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 00:17:09 +0000 2019
edinburgh,,Jeremy-Corbyn,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 00:15:10 +0000 2019
edinburgh,,Jeremy-Corbyn,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 00:08:40 +0000 2019
edinburgh,,Jeremy-Corbyn,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 00:08:23 +0000 2019
edinburgh,,Jeremy-Corbyn,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 00:05:41 +0000 2019
edinburgh,,Jeremy-Corbyn,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 00:04:06 +0000 2019
edinburgh,,Jeremy-Corbyn,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sun Nov 17 00:04:01 +0000 2019
edinburgh,,Jeremy-Corbyn,"RT @CraigMurrayOrg: Bob Costello, who heckled Jeremy Corbyn in Dundee, happens to be a friend of mine. 
Heckling is a specifically Dundee t…",Sun Nov 17 00:01:43 +0000 2019
edinburgh,,Jeremy-Corbyn,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 23:58:53 +0000 2019
edinburgh,,Jeremy-Corbyn,"RT @GarethBQuinn: Jeremy Corbyn spent the last couple of days campaigning in Scotland. Last night, there were 3 local by-elections. The SNP…",Sat Nov 16 23:56:43 +0000 2019
edinburgh,,Jeremy-Corbyn,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 23:55:32 +0000 2019
edinburgh,,Jeremy-Corbyn,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 23:54:08 +0000 2019
edinburgh,,Jeremy-Corbyn,"RT @CraigMurrayOrg: Truly incredible. Sky News just ran a story on the Bolton fire which did not mention the word cladding. 
They showed an…",Sat Nov 16 23:53:31 +0000 2019
